證券名稱	簡稱	年月	市場風險溢酬	規模溢酬	淨值市價比溢酬	動能因子	無風險利率
Y9999  	上市         	200303	  -2.3114	  -0.6348	  -7.3134	  -2.2637	 1.550
Y9999  	上市         	200304	  -4.0494	  -1.2259	 -11.7176	  -6.0993	 1.550
Y9999  	上市         	200305	  10.1237	  -0.1231	   2.8677	  -2.5397	 1.525
Y9999  	上市         	200306	   7.2694	   2.5339	   1.0954	  -8.6703	 1.525
Y9999  	上市         	200307	  10.3092	  -2.1940	  -1.8376	  -1.4023	 1.400
Y9999  	上市         	200308	   6.4570	  -8.2634	   1.3756	   2.2587	 1.400
Y9999  	上市         	200309	  -0.7371	  -0.7728	   0.4366	  -1.4554	 1.400
Y9999  	上市         	200310	   7.6250	  -3.3907	  11.1966	   4.6376	 1.400
Y9999  	上市         	200311	  -4.7670	   5.2466	  -3.1648	  -2.8838	 1.400
Y9999  	上市         	200312	   1.8705	   3.0986	   4.2704	   4.9363	 1.400
Y9999  	上市         	200401	   8.2134	   2.8863	  12.2312	   0.4673	 1.400
Y9999  	上市         	200402	   5.8470	   1.4634	   8.6048	  -7.0268	 1.400
Y9999  	上市         	200403	  -3.5150	  -1.9945	   0.9949	   2.7158	 1.400
Y9999  	上市         	200404	  -6.2079	  -0.7250	  -5.1623	  -3.8915	 1.400
Y9999  	上市         	200405	  -2.6070	  -0.4698	   2.7322	   1.3902	 1.400
Y9999  	上市         	200406	  -2.3373	  -4.5205	  -2.3593	  -1.2033	 1.400
Y9999  	上市         	200407	  -5.7587	  -0.6182	   2.9071	  -0.6313	 1.400
Y9999  	上市         	200408	   6.8723	  -3.0062	  -2.6171	   1.3921	 1.400
Y9999  	上市         	200409	   1.3647	  -2.0858	   4.1658	   9.9578	 1.400
Y9999  	上市         	200410	  -2.4409	  -2.2348	   1.9453	   1.8485	 1.525
Y9999  	上市         	200411	   2.2898	  -3.3954	  -0.0271	   2.1108	 1.525
Y9999  	上市         	200412	   4.9255	   2.2446	   2.0760	   0.1242	 1.525
Y9999  	上市         	200501	  -2.5205	  -2.4117	  -1.5509	   1.8114	 1.595
Y9999  	上市         	200502	   3.3930	   3.5223	  -7.1648	  -6.1374	 1.595
Y9999  	上市         	200503	  -3.4027	   2.4893	  -5.3121	  -0.6009	 1.690
Y9999  	上市         	200504	  -3.2452	  -3.4026	  -1.9151	   3.6957	 1.690
Y9999  	上市         	200505	   3.1911	  -1.6712	  -4.0107	  -2.9611	 1.690
Y9999  	上市         	200506	   4.3381	   4.1682	   2.0972	  -4.2794	 1.690
Y9999  	上市         	200507	   2.7001	  -0.3442	  -3.3069	   4.9077	 1.790
Y9999  	上市         	200508	  -3.6464	  -2.7954	  -5.3865	   4.2643	 1.790
Y9999  	上市         	200509	   1.5479	  -0.4183	  -2.9800	   4.5915	 1.890
Y9999  	上市         	200510	  -6.0414	   0.8319	  -2.4779	   6.0434	 1.890
Y9999  	上市         	200511	   7.5715	  -1.5764	   0.6986	   2.7153	 1.890
Y9999  	上市         	200512	   5.4906	   2.7842	   0.1348	  -1.5863	 1.990
Y9999  	上市         	200601	  -0.5011	  -1.9496	  -0.9529	   2.9045	 1.990
Y9999  	上市         	200602	   0.3057	  -1.3024	  -2.2483	  -2.5097	 1.990
Y9999  	上市         	200603	   0.8137	   4.0551	  -4.4464	   7.6978	 1.990
